x,u
0.0452,1167.9
0.0954,1164.5
0.191,1157.3
0.2908,1148.8
"0,4064",1138.3
0.4912,1130.8
0.5975,1120.7
0.6985,1110.7
0.7982,1099.8
0.9014,1088.2
0.9504,1083
