Clapeyron Estimator,
[method=saturation_rhov, species=CCC]
T,out_rhov
147,0.16141
152,0.28322
157,0.47671
162,0.77285
167,1.2113
172,1.8412
177,2.7222
182,3.9244
187,5.5295
192,7.6301
197,10.33
202,13.744
207,17.998
212,23.227
217,29.579
222,37.21
227,46.288
232,56.991
237,69.509
242,84.043
247,100.81
252,120.04
257,141.98
262,166.9
267,195.09
272,226.87
277,262.61
282,302.69
287,347.55
292,397.72
297,453.78
302,516.4
307,586.4
312,664.75
317,752.64
322,851.55
327,963.37
332,1090.6
