T,P,p,Cv,Cp,u,Phase
500,50,50000000,72.93,96.501,675.68,supercritical
510,50,50000000,74.02,97.201,668.67,supercritical
520,50,50000000,75.1,97.888,662.49,supercritical
530,50,50000000,76.171,98.562,657.08,supercritical
540,50,50000000,77.232,99.227,652.38,supercritical
550,50,50000000,78.283,99.884,648.32,supercritical
560,50,50000000,79.325,100.54,644.84,supercritical
570,50,50000000,80.355,101.18,641.89,supercritical
580,50,50000000,81.376,101.83,639.43,supercritical
590,50,50000000,82.385,102.47,637.41,supercritical
600,50,50000000,83.385,103.11,635.78,supercritical
