x,u
0.0462,1229.6
0.0967,1223.2
0.1966,1211.9
0.2976,1200.3
0.4,1185.3
0.5005,1171.5
0.606,1154.7
0.6919,1140.2
0.8037,1120.2
0.9029,1099.5
0.9509,1089.1
