Clapeyron Estimator,
[method=saturation_p, species=CCCCCCCCCCCCCCCCCCCC]
T,out_p
388.15,15.6
393.151,21.9
398.151,30.7
403.15,42.3
408.15,58.3
413.15,78.7
423.15,139.9
443.15,397.9
453.15,641.9
463.15,1007.7
473.15,1539.6
483.15,2300.3
488.15,2789
523.945,9596
528.046,10897
532.163,12348
536.294,13961
540.441,15752
544.604,17737
548.778,19933
557.182,25023
565.631,31177
574.135,38565
582.69,47375
591.296,57817
599.911,70120
608.566,84533
617.203,101325
625.992,12079
