Clapeyron Estimator,
[method=SLE],
x,out_T
0.0516,263.42
0.1003,263.24
0.1523,262.99
0.2046,262.83
0.2507,262.72
0.3012,262.57
0.3502,262.48
0.4001,262.36
0.4483,262.25
0.5002,262.16
0.5502,262.06
0.5989,261.94
0.6494,261.82
0.7014,261.71
0.7504,261.53
0.7992,261.2
0.8514,260.45
0.8765,261.72
0.8995,265.81
0.9243,270.35
0.9516,277.83
0.9685,282.71
