Clapeyron Estimator,
[method=saturation_p, species=CCCCCCCCCCCCCCC]
T,out_p
408.93,1333.4
424.54,266.2
434.48,3999.6
441.93,5332.4
442.82,5531.6
452.98,7997.9
454.04,8321.9
461.32,10666
468.04,13334
480.04,19416
480.98,19994
490.76,26662
498.71,33329
505.43,39996
508.26,43154
516.59,53324
525.65,66659
533.37,79979
540.15,93355
543.82,101280
556.59,133340
565.54,159960
576.93,199940
