Property,AAD_lit,AAD_fit
Saturated Pressure,"(4771.364713003048, 1.7386010108735201)","(280050.92586647434, 710.5540663819788)"
Saturated liquid density,"(21.422598984822653, 0.5121767401341865)","(833.0548309883455, 17.763115546553596)"
liquid density,"(22.283200644259363, 0.4853748375507367)","(1028.2236121566273, 21.598394997717733)"
