Clapeyron Database File
SAFTgammaMie Parameters [csvtype = like, grouptype = SAFTgammaMie]
species,vst,S,lambda_a,lambda_r,sigma,epsilon
CH3,1,0.5914300980865457,6.0,14.791333543749104,4.016259334677152,250.53069734272896
CH2,1,0.31236659708341125,6.0,13.456305539381574,4.301750541919677,336.72763659129635
