component,property,AAD_lit,AAD_fit,percent_AAD_lit,percent_AAD_fit
ethane,Saturated Pressure,16112.067360954961,3735.2463084789015,2.3454015809383373,1.5161423640950784
ethane,Saturated liquid density,266.2209843983967,138.30666756975697,1.469966091186718,0.7782973407280537
ethane,Saturated vapour density,26.56197765883101,14.268521134621333,4.160810279544724,2.1922378512965253
ethane,Liquid density,145.3506324506595,112.99632171737451,1.0374959986883858,0.8414326375709561
propane,Saturated Pressure,11171.869985873302,3170.7119891543553,2.2396646292846216,1.5685223919801947
propane,Saturated liquid density,86.51738242063455,102.57021290797192,0.7448327857329284,0.8836342197684885
propane,Saturated vapour density,14.619630146678132,9.65978012720678,3.9672886272095647,3.170546232039137
propane,Liquid density,49.47804364983565,61.22673899558991,0.46811870743240314,0.5982100373130445
butane,Saturated Pressure,4003.021471816563,9853.767069611751,1.2772027416777605,1.7853254293915006
butane,Saturated liquid density,34.970033013428974,41.969101701812384,0.37234311553571736,0.44765564582694434
butane,Saturated vapour density,4.552194498144691,1.5255466479964555,1.336268160131166,0.7400503879385826
butane,Liquid density,35.29366225418293,50.54574263303774,0.4653041908526246,0.700516447336928
pentane,Saturated Pressure,5130.702780197582,9308.769028756204,1.8785326864326939,2.1728318738473833
pentane,Saturated liquid density,26.235813201216917,20.148235883894166,0.3045768568590478,0.24150513300332768
pentane,Saturated vapour density,2.4793665840834826,0.9329835181485412,1.4482881100676184,0.9617544976420351
pentane,Liquid density,37.73493785121938,46.205437162479676,0.5276913370800382,0.6637373883115162
hexane,Saturated Pressure,2770.4762155462395,10261.474594032805,1.3882851231743818,1.9768642740974933
hexane,Saturated liquid density,22.7169576991636,15.980797268657028,0.3323454271322592,0.24153955495590385
hexane,Saturated vapour density,8.370733385211969,4.821576122474857,2.1522943155601024,1.3436670520902205
hexane,Liquid density,36.29111726894063,38.11278054475148,0.5370731052062138,0.5890357239798852
heptane,Saturated Pressure,812.8001161980006,2492.2805258321705,1.0043827624657133,1.3916303408761403
heptane,Saturated liquid density,22.68918490983328,15.909312127536221,0.3445803748941608,0.2625229353163906
heptane,Saturated vapour density,1.1471658407384109,0.609936841015654,1.1975062971588926,0.788259268148072
heptane,Liquid density,33.882720027411416,34.56530824182113,0.5508188132929396,0.5782442707351921
octane,Saturated Pressure,2300.344048989357,1868.3394246943094,0.7695711025570706,0.9387078562728246
octane,Saturated liquid density,20.847559093407934,23.74370964129229,0.37559800931164755,0.4799930168417766
octane,Saturated vapour density,3.6183004606007785,2.3895553420437152,2.110182382467148,1.358398475742095
octane,Liquid density,27.401466011302837,30.02359867582934,0.48829151077637273,0.5450108176164102
nonane,Saturated Pressure,3249.768429368284,736.4357177003282,0.6847362166099181,0.649571458252894
nonane,Saturated liquid density,27.083913083038723,34.247090472298886,0.5882187753721666,0.7904793536334224
nonane,Saturated vapour density,3.1955610243249395,2.0724438435735877,2.360894616766485,1.7321530275296357
nonane,Liquid density,24.083620042450864,27.17262009429496,0.4787652661310858,0.547825430917139
decane,Saturated Pressure,4967.906746529013,1100.618802986803,1.7497723292996765,1.04468983740701
decane,Saturated liquid density,21.52784686372608,32.10656193018355,0.5159575254624778,0.8243200148041983
decane,Saturated vapour density,3.7754520031098817,2.6218907042419746,3.7351380272671335,2.934826691528529
decane,Liquid density,20.918422576327238,25.397196163299704,0.45462738079208026,0.5571758352177746
Average,Saturated Pressure,5613.217461719255,4725.293717916403,1.4819499080489082,1.4493650918022798
Average,Saturated liquid density,58.75663052031629,47.22018772260039,0.5609354401652359,0.5499941349865006
Average,Saturated vapour density,7.591153511302589,4.322470475702544,2.496518979574759,1.6913214982172038
Average,Liquid density,45.60384690359228,47.360638247608726,0.5564651455835716,0.6245765098887607
