component,property,percent_AAD_lit,percent_AAD_fit
pentadecane,Saturated Pressure,43.39558266596878,41.14944430189964
eicosane,Saturated Pressure,40.846464094465226,38.80452120693698
pentacosane,Saturated Pressure,41.60506381775604,39.0429738280572
triacontane,Saturated Pressure,37.50007148551702,33.33430565492621
Average,Saturated Pressure,40.83679551592677,38.08281124795501
